Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
418	29775	PAPPAYA (KGS)	73.4	KGS	35	2569	FRUITS	REGULAR FRUITS
419	2060	PARANKIKAI	70.2	KGS	12.84188	901.5	VEGETABLES	REGULAR VEGETABLES
420	101565	PARCEL PAPER(17.25X22.75) FULL MEALS	3500	NOS	1.36	4760	PACKING MATERIALS	PARCEL MATERIAL-PACKING
421	239	PARUPPU PODI [100GMS]	40	NOS	34.29	1371.6	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
422	7370	PARUPPU PODI [200 GM]	20	NOS	68.57	1371.4	SAVOURIES	PODI ITEMS
423	3064	PATTAI(CASSIA)	0.5	KGS	245	122.5	RAW MATERIALS	SPICES AND MASALA
424	3117	PAV BAJI MASALA	1	KGS	375.74	375.74	RAW MATERIALS	SPICES AND MASALA
425	490	PAV BHAJI MASALA	108.28	KGS	245.902881	26626.36	SEMI FINISHED-SWEET & SAV	SEMI FINISHED-CHAT
426	3516	PAV BUN	99	NOS	32.651717	3232.52	RAW MATERIALS	SF.RAW MATERIALS
427	2068	PAVAKAI	3.5	KGS	70	245	VEGETABLES	REGULAR VEGETABLES
428	21012	PAYASAM MIX [200 GMS]	20	NOS	61.02	1220.4	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
429	20068	PEN ORD BLACK	5	NOS	2.8	14	STATIONARY ITEMS	STATIONARY ITEMS
430	20069	PEN ORD RED	5	NOS	2.95	14.75	STATIONARY ITEMS	STATIONARY ITEMS
431	5805	PEN ORD.1 BLUE	20	NOS	2.95	59	STATIONARY ITEMS	STATIONARY ITEMS
432	5807	PENCIL	2	NOS	4.13	8.26	STATIONARY ITEMS	STATIONARY ITEMS
433	3089	PEPPER	49	KGS	699.214285	34261.5	RAW MATERIALS	SPICES AND MASALA
434	473	PEPPER KULAMBU [400 GMS]	20	NOS	175.43	3508.6	SAVOURIES	RICE MIXES
435	22923	PEPPER SEV (100 GMS)	480	NOS	40.18	19286.4	SAVOURIES	SAVOURIES - SPECIALITIES [NOS]
436	40688	PEPPER SEV 200 GRMS	160	NOS	80.36	12857.6	SAVOURIES	PACKED - SAVOURIES
437	29964	PICKLE	34	KGS	90	3060	RAW MATERIALS	SPICES AND MASALA
438	3564	PICKLES (5KG)	50	KGS	56	2800	RAW MATERIALS	SPICES AND MASALA
439	8858	PIECES CHOCOLATE SPL	180	PICES	22.88	4118.4	BAKERY	CHOCOLATES - BKRY
440	29777	PINE APPLE (KGS)	135.5	KGS	71.402214	9675	FRUITS	REGULAR FRUITS
441	8241	PISTA GHEE BISCUITS 250 Gms- COOKIES	45	NOS	167.8	7551	BAKERY	COOKIES
442	40545	PISTHA CHIO ICE CREAM [KGS]	22.5	KGS	366.1	8237.25	ICE CREAMS	ICE CREAM GALLON
443	1141	PLAIN CORNFLAKES	6.34	KGS	67.858548	430.22	SEMI FINISHED	SF.CHAT
444	109	PLAINTAIN CHIPS	15	KGS	482.14	7232.1	SAVOURIES	SAVOURIES - CHIPS ITEMS [KGS]
445	2069	PODLANKAI - LONG	4	KGS	44	176	VEGETABLES	REGULAR VEGETABLES
446	4126	POLY FOIL ROLL(44 MTR)	7	NOS	257.24	1800.68	PACKING MATERIALS	PARCEL MATERIAL-PACKING
447	29701	POMEGRANATE KABUL	144	KGS	164.236111	23650	FRUITS	REGULAR FRUITS
