Sno	Code	Item Name	Qty	UOM	Rate	Value()	MainCat	SubCat
394	949	KADAI PANNEER	38	NOS	295	9525.98	NORTH INDIAN	SUBJEES
395	1044	KADAI VEGETABLE	18	NOS	235	4416.82	NORTH INDIAN	SUBJEES
396	1044	KADAI VEGETABLE	43	NOS	240	10836	NORTH INDIAN	SUBJEES
397	1044	KADAI VEGETABLE	15	NOS	285	3383.98	NORTH INDIAN	SUBJEES
398	300	KADALAI BURFI[250GMS]	32	NOS	109.52	3680	SWEETS	SP-SWEETS
399	300	KADALAI BURFI[250GMS]	8	NOS	138.1	890.44	SWEETS	SP-SWEETS
400	40220	KAJU BADAM PISTHA ROLL	12.735	KGS	1523.81	20376	SWEETS	DRY FRUIT SWEETS [KGS]
401	40361	KAJU CHOCO TERRAZE	0.54	KGS	1619.05	918	SWEETS	DRY FRUIT SWEETS [KGS]
402	23488	KAJU ELAICHI BISCUITS 200GMS	20	NOS	122.88	2900	BAKERY	BISCUITS
403	79	KAJU KASMIR	5.125	KGS	1333.33	7175	SWEETS	DRY FRUIT SWEETS [KGS]
404	76	KAJU KATHILY	178.2	KGS	1047.62	196020	SWEETS	DRY FRUIT SWEETS [KGS]
405	76	KAJU KATHILY	20.75	KGS	1220	21575.42	SWEETS	DRY FRUIT SWEETS [KGS]
406	354	KAJU MYSORE PAK	10.67	KGS	1000	11203.5	SWEETS	DRY FRUIT SWEETS [KGS]
407	354	KAJU MYSORE PAK	2	KGS	1238.1	2137.46	SWEETS	DRY FRUIT SWEETS [KGS]
408	7460	KAL DOSAI	74	NOS	95	7381.5	SOUTH INDIAN	DOSA VARIETIES
409	8720	KAL DOSAI VADA CURRY	193	NOS	135	27357.75	SOUTH INDIAN	DOSA VARIETIES
410	60	KALA JAMOON	29.8	KGS	666.67	20860	SWEETS	BENGALI SWEETS [KGS]
411	60	KALA JAMOON	1.75	KGS	819.05	1216.34	SWEETS	BENGALI SWEETS [KGS]
412	7	KALA KAND	22.97	KGS	666.67	16079	SWEETS	MILK SWEETS [KGS]
413	7	KALA KAND	1	KGS	819.05	662.37	SWEETS	MILK SWEETS [KGS]
414	324	KALA KAND BURFI	12.495	KGS	666.67	8746.5	SWEETS	MILK SWEETS [KGS]
415	324	KALA KAND BURFI	1.25	KGS	819.05	938.11	SWEETS	MILK SWEETS [KGS]
416	8631	KARA BOONTHI 100 GRAMS	110	NOS	49.11	6047.25	SAVOURIES	PACKED - SAVOURIES
417	8631	KARA BOONTHI 100 GRAMS	77	NOS	62.5	4690.88	SAVOURIES	PACKED - SAVOURIES
418	22218	KARA BOONTHI 200 GRAMS	188	NOS	98.21	20680	SAVOURIES	PACKED - SAVOURIES
419	22218	KARA BOONTHI 200 GRAMS	15	NOS	125	1704.55	SAVOURIES	PACKED - SAVOURIES
420	367	KARA KOZHUKATTAI (2 Pcs)	139	NOS	45	6567.75	CHAT	CHAT SPECIALITIES
421	367	KARA KOZHUKATTAI (2 Pcs)	146	NOS	50	7665	CHAT	CHAT SPECIALITIES
422	418	KARAAPPAM	133	NOS	40	5586	SOUTH INDIAN	UTHAPPAM VARIETIES
423	418	KARAAPPAM	99	NOS	45	4677.75	SOUTH INDIAN	UTHAPPAM VARIETIES
424	238	KARUVAPPILAI PODI [100GMS]	17	NOS	42.86	765	SAVOURIES	PODI ITEMS
425	7369	KARUVEPILLAI PODI [200 GM]	2	NOS	85.71	180	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
426	40368	KARUVEPPILAI PODI [250 GMS]	18	NOS	110.17	2340	SAVOURIES	PODI ITEMS
427	471	KARUVEPPILAI THOKKU [400GMS]	10	NOS	205.36	2300	SAVOURIES	RICE MIXES
428	471	KARUVEPPILAI THOKKU [400GMS]	2	NOS	258.93	452.49	SAVOURIES	RICE MIXES
429	1524	KASHMIR PULAO	5	NOS	255	1091.45	NORTH INDIAN	BASUMATI SPECIAL
430	23489	KESAR BADAM BISCUITS 200GMS	18	NOS	122.88	2610	BAKERY	BISCUITS
431	21462	KESAR BADAM BISCUITS (100GMS)	10	NOS	63.56	750	BAKERY	BISCUITS
432	23417	KESAR BADAM CASATTA	9.95	KGS	1333.33	13930	SWEETS	DRY FRUIT SWEETS [KGS]
433	8470	KESAR BASUNDHI 100 ML	558	NOS	64.76	37929.82	SWEETS	MILK SWEETS [NOS]
434	15	KESAR KALAKAND BURFI	9.23	KGS	666.67	6461	SWEETS	MILK SWEETS [KGS]
435	15	KESAR KALAKAND BURFI	0.25	KGS	819.05	182.75	SWEETS	MILK SWEETS [KGS]
436	12	KESAR PEDA	62.575	KGS	666.67	43347.52	SWEETS	MILK SWEETS [KGS]
437	12	KESAR PEDA	4.5	KGS	819.05	3197.39	SWEETS	MILK SWEETS [KGS]
438	47	KESAR WHEAT HALWA	14.01	KGS	666.67	9807	SWEETS	GHEE SWEETS [KGS]
439	47	KESAR WHEAT HALWA	1.5	KGS	819.05	1079.09	SWEETS	GHEE SWEETS [KGS]
440	20327	KINLEY SODA 750ML	7	Botls	16.95	140	RESALE	WATER BOTTLE
441	20327	KINLEY SODA 750ML	8	Botls	19.05	160.01	RESALE	WATER BOTTLE
442	8982	KINLEY WATER 1 LTR	116	NOS	16.95	2320.04	RESALE	WATER BOTTLE
443	8982	KINLEY WATER 1 LTR	2153	NOS	19.05	43061.24	RESALE	WATER BOTTLE
444	29580	KINLEY WATER 300ML	3	NOS	6.78	24	RESALE	WATER BOTTLE
445	29580	KINLEY WATER 300ML	77	NOS	7.62	616.04	RESALE	WATER BOTTLE
446	197	KIRINI PAZHAM  JUICE	33	NOS	90	3118.5	JUICE & MILK SHAKES	FRESH JUICE
447	197	KIRINI PAZHAM  JUICE	83	NOS	95	8279.25	JUICE & MILK SHAKES	FRESH JUICE
448	224	KRANTHI	10.95	KGS	666.67	7665	SWEETS	BENGALI SWEETS [KGS]
449	1655	LACHA PARATHA	2	NOS	130	273	TANDOORI	TANDOORI BREAD
450	23	LADDU	70.01	KGS	666.67	48307.03	SWEETS	GHEE SWEETS [KGS]
451	23	LADDU	3.5	KGS	819.05	2509.21	SWEETS	GHEE SWEETS [KGS]
452	35	LAVANKA LATHIKA	14.88	KGS	666.67	10416	SWEETS	GHEE SWEETS [KGS]
453	383	LEMON PICKLE [400 GM]	10	NOS	196.43	2200	SAVOURIES	PICKLES
454	383	LEMON PICKLE [400 GM]	2	NOS	245.54	465.25	SAVOURIES	PICKLES
455	890	LEMON RICE	38	NOS	85	3391.5	SOUTH INDIAN	VARIETY RICE
456	40412	LOW SUGAR NATURAL	0.78	KGS	1523.81	1248	SWEETS	DRY FRUIT SWEETS [KGS]
457	8822	LUNCH - A2B COMBO SPECIAL (IV) (SERV)	40	NOS	400	16800	PARTY HALL MENU ITEMS	PARTY HALL MENU ITEMS
458	907	M.MILK	51	NOS	35	1874.25	SOUTH INDIAN	HOT DRINKS
459	907	M.MILK	7	NOS	38.09	279.95	SOUTH INDIAN	HOT DRINKS
460	907	M.MILK	135	NOS	40	5670	SOUTH INDIAN	HOT DRINKS
461	24262	MA LADDU[100 GMS]	10	NOS	62.86	660	SWEETS	GHEE SWEETS [NOS]
462	40905	MAAZA 300ML (TFS)	2	NOS	95.24	200	RESALE	COOL DRINKS - II
463	8904	MADRAS MIXTURE 100GMS	252	NOS	49.11	13857.25	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
464	8904	MADRAS MIXTURE 100GMS	59	NOS	62.5	3403.16	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
