Sno	Code	Item Name	Qty	UOM	Rate	Value()	MainCat	SubCat
593	1397	NORTH INDIAN MEALS	123	NOS	290	31040.86	NORTH INDIAN	NORTH INDIAN - MEAL VARIETIES
594	8643	OMPODI 100 GRAMS	194	NOS	44.64	9697.5	SAVOURIES	PACKED - SAVOURIES
595	8643	OMPODI 100 GRAMS	42	NOS	58.04	2294.9	SAVOURIES	PACKED - SAVOURIES
596	22219	OMPODI 200 GRAMS	142	NOS	89.29	14200	SAVOURIES	PACKED - SAVOURIES
597	22219	OMPODI 200 GRAMS	11	NOS	111.61	1235.32	SAVOURIES	PACKED - SAVOURIES
598	1211	ONION BAJI 2 NOS	113	NOS	50	5932.5	SOUTH INDIAN	BAJJI
599	809	ONION DOSAI	396	NOS	115	47810.96	SOUTH INDIAN	DOSA VARIETIES
600	809	ONION DOSAI	54	NOS	130	6059.16	SOUTH INDIAN	DOSA VARIETIES
601	1741	ONION MASALA DOSAI	7	NOS	125	918.75	SOUTH INDIAN	DOSA VARIETIES
602	105	ONION POKODA	30.211	KGS	401.79	13594.95	SAVOURIES	SAVOURIES - PAKODA ITEMS
603	814	ONION RAVA DOSAI	764	NOS	125	100275	SOUTH INDIAN	DOSA VARIETIES
604	814	ONION RAVA DOSAI	128	NOS	140	15525.14	SOUTH INDIAN	DOSA VARIETIES
