Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
113	20402	SF.CARROT AND BEANS PORIYAL	143	KGS	100.563321	14380.56	SEMI FINISHED	SF.PORIYAL ITEMS
114	23518	SF.CARROT MOONG DHALL PORIYAL	132	KGS	65.570984	8655.37	SEMI FINISHED	SF.PORIYAL ITEMS
115	2589	SF.CHAPPATHI	1160	NOS	3.371034	3910.4	SEMI FINISHED	SF.BATTER
116	2518	SF.CHENNA MASALA	67	KGS	48.87194	3274.42	SEMI FINISHED	SF.NORTH INDIAN
117	2548	SF.CHOLA FLOUR	1	KGS	29.29	29.29	SEMI FINISHED	SF.BATTER
118	20411	SF.CHOW CHOW KOOTU	57	KGS	41.685263	2376.06	SEMI FINISHED	SF.KOOTU - VEG
119	20674	SF.CHOW CHOW THUVAIYAL	5.9	KGS	80.524576	475.1	SEMI FINISHED	SF.THUVAIYAL ITEMS
120	1321	SF.COCONUT CHATNI	121	KGS	31.785619	3846.06	SEMI FINISHED	SF.CHATNY ITEMS [SOUTH]
121	2501	SF.CURD RICE	1017	KGS	29.977856	30487.48	SEMI FINISHED	SF.VARIETY RICE
122	1519	SF.DHALL GHEE	23.5	KGS	49.211702	1156.47	SEMI FINISHED	SF.KURMA ITEMS
123	1520	SF.DHALL PAYASAM	64	KGS	48.950937	3132.86	SEMI FINISHED	SF.SOUTH SWEETS
124	20550	SF.DHALL RASAM	55	KGS	29.650545	1630.78	SEMI FINISHED	SF.RASAM
125	20677	SF.DHALL THUVAIYAL	1.4	KGS	110.485714	154.68	SEMI FINISHED	SF.THUVAIYAL ITEMS
126	1604	SF.DOSAI FLOUR	310	KGS	32.340903	10025.68	SEMI FINISHED	SF.BATTER
127	24499	SF.DOSAI FLOUR [ STAFF ]	49	KGS	49.059591	2403.92	SEMI FINISHED	SF.BATTER
128	23887	SF.DRUMSTICK KARA KOLAMBU	16	KGS	47.245	755.92	SEMI FINISHED	SF.KARA KOLAMBU
129	20554	SF.GARLIC RASAM	60	KGS	21.219	1273.14	SEMI FINISHED	SF.RASAM
130	2508	SF.GHEE PONGAL	517.5	KGS	61.234917	31689.07	SEMI FINISHED	SF.KITCHADI VARIETY
131	21968	SF.GINGER THUVAYAL	1.4	KGS	114.253571	159.96	SEMI FINISHED	SF.THUVAIYAL ITEMS
132	22471	SF.GREEN CHATNI (CHAT)	4.3	KGS	82.445581	354.52	SEMI FINISHED	SF.CHAT
133	23400	SF.GREEN CHATNI( REST)	460	KGS	56.988434	26214.68	SEMI FINISHED	SEMI FINISHED REST
134	23516	SF.GREEN MOONG DHALL THUVAIYAL	5.4	KGS	84.622962	456.96	SEMI FINISHED	SF.THUVAIYAL ITEMS
135	20680	SF.GROUNDNUT THUVAIYAL	6.9	KGS	124.721594	860.58	SEMI FINISHED	SF.THUVAIYAL ITEMS
136	8446	SF.IDLY	1695	NOS	1.877197	3181.85	SEMI FINISHED	SF.IDLY VARITIES
137	1603	SF.IDLY FLOUR	3	KGS	26.2	78.6	SEMI FINISHED	SF.BATTER
138	24502	SF.IDLY FLOUR [ STAFF ]	30	KGS	25.504	765.12	SEMI FINISHED	SF.BATTER
139	485	SF.IMILY CHATNY	10.5	KGS	36.463809	382.87	SEMI FINISHED-SWEET & SAV	SEMI FINISHED-CHAT
140	20549	SF.JEERA RASAM	58.5	KGS	23.869059	1396.34	SEMI FINISHED	SF.RASAM
141	21313	SF.KADHAMBA PORIAL	41	KGS	81.154146	3327.32	SEMI FINISHED	SF.PORIYAL ITEMS
142	2549	SF.KARA APPAM	1320	NOS	5.401666	7130.2	SEMI FINISHED	SF.APPAM VARIETIES
143	8768	SF.KARA KOLUKATTAI	1160	NOS	3.539051	4105.3	SEMI FINISHED	SF.APPAM VARIETIES
144	8483	SF.KEERAI KOOTTU	26	KGS	28.205	733.33	SEMI FINISHED	SF.KOOTU - VEG
145	1311	SF.KICHADI	51	KGS	45.972549	2344.6	SEMI FINISHED	SF.KITCHADI VARIETY
146	20676	SF.KOTHAMALLI THUVAIYAL	12.7	KGS	59.430157	754.76	SEMI FINISHED	SF.THUVAIYAL ITEMS
147	23894	SF.KOTHAVARANGAI KARA KOLAMBU	16	KGS	53.04	848.64	SEMI FINISHED	SF.KARA KOLAMBU
148	23890	SF.KOVAKKAI KARA KOLAMBU	49.5	KGS	48.843737	2417.76	SEMI FINISHED	SF.KARA KOLAMBU
149	23891	SF.LADIES FINGER KARA KOLAMBU	46	KGS	47.602608	2189.72	SEMI FINISHED	SF.KARA KOLAMBU
150	20547	SF.LADIES FINGER SAMBAR	67	KGS	39.094029	2619.3	SEMI FINISHED	SF.SAMBAR MEALS
151	538	SF.LASOON CHATNY	4.2	KGS	97.085238	407.76	SEMI FINISHED	SF.CHAT
152	20548	SF.LEMON RASAM	67	KGS	26.842238	1798.43	SEMI FINISHED	SF.RASAM
153	2510	SF.LEMON RICE	137	KGS	52.066642	7133.13	SEMI FINISHED	SF.VARIETY RICE
154	2502	SF.MALLI RICE	159	KGS	63.528867	10101.09	SEMI FINISHED	SF.VARIETY RICE
155	8046	SF.MEDHU VADAI	487	NOS	5.598562	2726.5	SEMI FINISHED	SF.VADAI ITEMS
156	21971	SF.MILAGU KULAMBU	56	KGS	32.646071	1828.18	SEMI FINISHED	SF.KARA KOLAMBU
